county,yearG3,sex,raceCode,CAUSE,Ndeaths,Level,pop,rateSE,aRate,LCI,UCI,aSE,bestRate,bestSE,lowRace,rateRatio,Ztest,pValue,pMark
Alameda,2016-2018,Total,Asian-NH,D06,131,lev2,1355380,0.844453,8.98443,7.49678,10.7143,0.7934,8.98443,0.7934,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,D09,92,lev2,1355380,0.707675,6.17106,4.96664,7.6166,0.647989,6.17106,0.647989,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,D10,201,lev2,1355380,1.04601,13.5771,11.7482,15.6438,0.96682,10.632,0.66565,White-NH,1.3,2.509008287573634,0.006053532191948818,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Asian-NH,D11,67,lev2,1355380,0.603917,4.47959,3.46163,5.74168,0.553078,4.47959,0.553078,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,D66,126,lev2,1355380,0.828181,8.74819,7.27671,10.4628,0.785375,8.74819,0.785375,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,D68,184,lev2,1355380,1.0008,12.6537,10.8767,14.671,0.940931,12.6537,0.940931,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,D99,117,lev2,1355380,0.798055,7.6277,6.29802,9.19385,0.710965,7.6277,0.710965,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,E01,190,lev2,1355380,1.01699,13.2607,11.4188,15.3455,0.974805,13.2607,0.974805,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,E02,83,lev2,1355380,0.672169,5.74375,4.55913,7.17563,0.639478,5.74375,0.639478,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Black-NH,A02,35,lev2,565647,1.0459,5.48306,3.78123,7.80884,0.950188,5.48306,0.950188,Black-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Black-NH,A07,100,lev2,565647,1.76789,15.4342,12.49,18.9715,1.5819,10.7314,0.860745,Asian-NH,1.4,2.611341358347249,0.004509391038492239,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,A09,23,lev2,565647,0.847849,5.36315,3.35717,8.13077,1.14596,1.90965,0.41672,White-NH,2.8,2.832184345566366,0.0023115593421549896,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,A99,92,lev2,565647,1.6957,14.4586,11.5881,17.9291,1.54594,6.28369,0.666202,Asian-NH,2.3,4.8562583768045,5.981229571627722e-7,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B03,31,lev2,565647,0.984318,4.88187,3.2786,7.11553,0.900806,2.59602,0.34817,White-NH,1.9,2.3669159700133298,0.008968502412147528,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B04,116,lev2,565647,1.90407,17.6602,14.5188,21.3886,1.68145,9.84257,0.810699,Asian-NH,1.8,4.1879784959811035,1.4072508840445863e-5,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B05,70,lev2,565647,1.47912,9.48763,7.34521,12.2008,1.1635,5.86055,0.494175,White-NH,1.6,2.869305164735289,0.002056873445235863,Sig. Higher (p<.01)
